Caso;Objetivo;Cantidad_endpoints;Metodos_y_rutas;Roles
"UC01";"Autenticarse";"1";"POST /admin/auth/login";"admin, finance, ops, support"
"UC02";"Consultar métricas generales";"1";"GET /admin/metrics/overview";"admin"
"UC03";"Consultar métricas comerciales";"1";"GET /admin/metrics/commercial";"admin, finance"
"UC04";"Gestionar patrocinadores";"4";"GET, POST /admin/sponsors; PATCH, DELETE /admin/sponsors/{id}";"admin"
"UC05";"Consultar plataformas";"1";"GET /admin/platforms";"admin, ops"
"UC06";"Consultar estado de servicios";"1";"GET /admin/services";"admin, ops"
"UC07";"Consultar contenedores";"1";"GET /admin/containers";"admin, ops"
"UC08";"Solicitar reinicio";"1";"POST /admin/containers/{name}/restart";"admin, ops"
"UC09";"Administrar usuarios";"3";"GET /admin/users; GET, PATCH /admin/users/{id}";"admin, support"
"UC10";"Gestionar tickets de soporte";"2";"GET /admin/tickets; PATCH /admin/tickets/{id}";"admin, support"
"UC11";"Resolver recorrecciones";"2";"GET /admin/corrections; PATCH /admin/corrections/{id}";"admin, support"
"UC12";"Gestionar preguntas";"4";"GET, POST /admin/questions; PUT /admin/questions/{id}; POST /admin/questions/import";"admin"
"UC13";"Consultar funcionalidades";"1";"GET /admin/features";"admin"
"UC14";"Gestionar planes";"4";"GET, POST /admin/plans; PUT, DELETE /admin/plans/{id}";"admin"
